id,url,comments,
1,https://maps.google.com/maps?q=32.69066619873047%2C35.44001770019531&z=17&hl=he,"נקודת התחלה, מצפה גיל",
2,https://maps.google.com/maps?q=32.69084548950195%2C35.442596435546875&z=17&hl=he,"מכסה חלוד עגול עם חור עגול, כמטר על מטר",
3,https://maps.google.com/maps?q=32.69068908691406%2C35.44279479980469&z=17&hl=he,חתיכת פח חלודה בגודל חצי מטר על 20 סנטימטר עם עיגול מתכת אפור במרכזה,
4,https://maps.google.com/maps?q=32.69013214111328%2C35.44374084472656&z=17&hl=he,"סלע אפור-שחור רחב, כמטר רוחב ו30 סנטימטר גובה",
5,https://maps.google.com/maps?q=32.689910888671875%2C35.445640563964844&z=17&hl=he,גדר מרובעת ובתוכה ברז,
6,https://maps.google.com/maps?q=32.6896858215332%2C35.44641876220703&z=17&hl=he,"שתי חתיכות ברזל חלוד, אחת מהן תקועה עומדת באדמה",
7,https://maps.google.com/maps?q=32.68958282470703%2C35.44642639160156&z=17&hl=he,חתיכת פח חלודה מלבנית מקופלת לכמעט-גליל,
8,https://maps.google.com/maps?q=32.6898078918457%2C35.44694519042969&z=17&hl=he,גדר מרובעת ובתוכה ברז,
9,https://maps.google.com/maps?q=32.69002151489258%2C35.44683837890625&z=17&hl=he,"סלע בצבעי שחור-ירוק כהה בחלקו העליון, אפור רובו, ולבן בצידו",
10,https://maps.google.com/maps?q=32.69121170043945%2C35.44673538208008&z=17&hl=he,צינור קצר ורחב בצבע שחור בתוך המים,
11,https://maps.google.com/maps?q=32.69192886352539%2C35.44677734375&z=17&hl=he,מבנה בטון מרובע ברוחב מטר וקצת על גובה 60 סנטימטר,
12,https://maps.google.com/maps?q=32.69184875488281%2C35.446800231933594&z=17&hl=he,גדר מרובעת ובתוכה ברז נמוך,
13,https://maps.google.com/maps?q=32.6919059753418%2C35.446807861328125&z=17&hl=he,כתובת על הבטון,נקודת חציה בטוחה
14,https://maps.google.com/maps?q=32.69182586669922%2C35.44700622558594&z=17&hl=he,עמוד אדום ולבן,
15,https://maps.google.com/maps?q=32.69200134277344%2C35.44725799560547&z=17&hl=he,פיר ביוב עגול סגור מבטון,
16,https://maps.google.com/maps?q=32.692012786865234%2C35.44723892211914&z=17&hl=he,עמוד-צינור כחול,
17,https://maps.google.com/maps?q=32.69208908081055%2C35.44721603393555&z=17&hl=he,שם החברה על פיר ביוב עגול סגור,
18,https://maps.google.com/maps?q=32.693206787109375%2C35.44711685180664&z=17&hl=he,"עמוד-צינור כחול שקצהו בצורת ""ר""",
19,https://maps.google.com/maps?q=32.693199157714844%2C35.447086334228516&z=17&hl=he,עיגול בטון גדול ובתוכו עיגול נוסף שמהווה מכסה לביוב. איזה משקל כתוב עליו?,
20,https://maps.google.com/maps?q=32.69346237182617%2C35.4488639831543&z=17&hl=he,מחשוף סלע לבן ברוחב כ3 סנטימטרים לאורך העלייה החשופה,
21,https://maps.google.com/maps?q=32.69352722167969%2C35.44895553588867&z=17&hl=he,אגם נסתר,
22,https://maps.google.com/maps?q=32.6934928894043%2C35.44997787475586&z=17&hl=he,"עץ נמוך בקצה גובה הכתף לפני שמשתפלת, בצד המערבי של השביל, צילום לכיוון צפון",
23,https://maps.google.com/maps?q=32.692176818847656%2C35.45039367675781&z=17&hl=he,מכסה מרובע כחול במבנה בטון,
24,https://maps.google.com/maps?q=32.69179153442383%2C35.45107650756836&z=17&hl=he,שער רכב בגובה מטר וחצי-שניים,
25,https://maps.google.com/maps?q=32.69103240966797%2C35.449806213378906&z=17&hl=he,"כמה אבנים, כמו תל קטן קטן בגובה חצי מטר, עם כמה אבנים ברו’ום של כ30 סנטימטרים עליהם",
26,https://maps.google.com/maps?q=32.690853118896484%2C35.449501037597656&z=17&hl=he,"עץ בגובה 3 מטרים, נראה היחיד בגובה הזה כשמסתכלים מהחלק הגבוה יותר של השלוחה, קרוב אליו",
27,https://maps.google.com/maps?q=32.689537048339844%2C35.4495964050293&z=17&hl=he,עץ מושיט יד,
28,https://maps.google.com/maps?q=32.68914794921875%2C35.449615478515625&z=17&hl=he,"סלע לבן-אפור, רחב יחסית ובגובה כחצי מטר",
29,https://maps.google.com/maps?q=32.688804626464844%2C35.44785690307617&z=17&hl=he,מעבר נחל על בטון מרובע,
30,https://maps.google.com/maps?q=32.68879699707031%2C35.44781494140625&z=17&hl=he,כתובת על שלט כחול,
31,https://maps.google.com/maps?q=32.68967056274414%2C35.44742202758789&z=17&hl=he,כתובת על מכסה ביוב מבטון,
32,https://maps.google.com/maps?q=32.68986511230469%2C35.44732666015625&z=17&hl=he,צינור סגול עם קצה כחול. מה כתוב על החלק הכחול?,
33,https://maps.google.com/maps?q=32.69023513793945%2C35.4474983215332&z=17&hl=he, מחשוף סלע גבוה,
34,https://maps.google.com/maps?q=32.69224166870117%2C35.44630813598633&z=17&hl=he,"על הכתף במבט לכיוון השלוחה שמהצד הדרומי, שלושה אובייקטים גדולים, את אחד מהם אפשר לצלם כשהוא בתוך השני ",
35,https://maps.google.com/maps?q=32.69241714477539%2C35.446163177490234&z=17&hl=he,העץ הבודד בואדי מול קצה הכתף,
36,https://maps.google.com/maps?q=32.69242477416992%2C35.44573211669922&z=17&hl=he,מאורה,
37,https://maps.google.com/maps?q=32.69243240356445%2C35.44518280029297&z=17&hl=he,רוג’ום קטן על מחשוף סלע גדול,
